"ValueClassification","Value","DescriptionClassification","Description"
"(U) ","APP","(U) ","Digital Analytics Intelligence (Applications)"
"(U) ","CI","(U) ","Counterintelligence"
"(U) ","GEOINT","(U) ","Geospatial Intelligence (consists of imagery, IMINT, and geospatial information)"
"(U) ","HUMINT","(U) ","Human Source Intelligence"
"(U) ","MASINT","(U) ","Measurement and Signature Intelligence"
"(U) ","OSINT","(U) ","Open-Source Intelligence"
"(U) ","SIGINT","(U) ","Signals Intelligence (consists of COMINT, ELINT, and FISINT)"
"(U) ","TECHINT","(U) ","Foreign Scientific/Technological Intelligence"

