"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","GOVERNMENTOWNEDGOVERNMENTOPERATED","(U) ","Government Owned Government Operated",
"(U) ","GOVERNMENTOWNEDCONTRACTOROPERATED","(U) ","Government Owned Contractor Operated",
"(U) ","CONTRACTOROWNEDCONTRACTOROPERATED","(U) ","Contractor Owned Contractor Operated",
"(U) ","NONFEDERAL","(U) ","Non-federal to include state and local governments, grantees",

