"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","(cm/s)/K","(U) ","centimetre per second kelvin",
"(U) ","cN·m","(U) ","centinewton metre",
"(U) ","cP","(U) ","centipoise",
"(U) ","cP/bar","(U) ","centipoise per bar",
"(U) ","cP/K","(U) ","centipoise per kelvin",
"(U) ","cSt","(U) ","centistokes",
"(U) ","CV","(U) ","cheval vapeur",
"(U) ","clo","(U) ","clo",
"(U) ","y (365 days)","(U) ","common year",
"(U) ","cm H₂O","(U) ","conventional centimetre of water",
"(U) ","mm Hg","(U) ","conventional millimetre of mercury",
"(U) ","mm H₂O","(U) ","conventional millimetre of water",
"(U) ","C","(U) ","coulomb",
"(U) ","C·m","(U) ","coulomb metre",
"(U) ","C·m²/V","(U) ","coulomb metre squared per volt",
"(U) ","C/cm³","(U) ","coulomb per cubic centimetre",
"(U) ","C/m³","(U) ","coulomb per cubic metre",
"(U) ","C/mm³","(U) ","coulomb per cubic millimetre",
"(U) ","C/kg","(U) ","coulomb per kilogram",
"(U) ","C/(kg·s)","(U) ","coulomb per kilogram second",
"(U) ","C/mol","(U) ","coulomb per mole",
"(U) ","C/cm²","(U) ","coulomb per square centimetre",
"(U) ","C/m²","(U) ","coulomb per square metre",
"(U) ","C/mm²","(U) ","coulomb per square millimetre",
"(U) ","C·m²/kg","(U) ","coulomb square metre per kilogram",
"(U) ","cm³","(U) ","cubic centimetre",
"(U) ","cm³/bar","(U) ","cubic centimetre per bar",
"(U) ","cm³/m³","(U) ","cubic centimetre per cubic metre",
"(U) ","cm³/d","(U) ","cubic centimetre per day",
"(U) ","cm³/(d·bar)","(U) ","cubic centimetre per day bar",
"(U) ","cm³/(d·K)","(U) ","cubic centimetre per day kelvin",
"(U) ","cm³/h","(U) ","cubic centimetre per hour",
"(U) ","cm³/(h·bar)","(U) ","cubic centimetre per hour bar",
"(U) ","cm³/(h·K)","(U) ","cubic centimetre per hour kelvin",
"(U) ","cm³/K","(U) ","cubic centimetre per kelvin",
"(U) ","cm³/min","(U) ","cubic centimetre per minute",
"(U) ","cm³/(min·bar)","(U) ","cubic centimetre per minute bar",
"(U) ","cm³/(min·K)","(U) ","cubic centimetre per minute kelvin",
"(U) ","cm³/mol","(U) ","cubic centimetre per mole",
"(U) ","cm³/s","(U) ","cubic centimetre per second",
"(U) ","cm³/(s·bar)","(U) ","cubic centimetre per second bar",
"(U) ","cm³/(s·K)","(U) ","cubic centimetre per second kelvin",
"(U) ","dam³","(U) ","cubic decametre",
"(U) ","dm³","(U) ","cubic decimetre",
"(U) ","dm³/m³","(U) ","cubic decimetre per cubic metre",
"(U) ","dm³/d","(U) ","cubic decimetre per day",
"(U) ","dm³/h","(U) ","cubic decimetre per hour",
"(U) ","dm³/min","(U) ","cubic decimetre per minute",
"(U) ","dm³/mol","(U) ","cubic decimetre per mole",
"(U) ","dm³/s","(U) ","cubic decimetre per second",
"(U) ","ft³","(U) ","cubic foot",
