"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","Military ID","(U) ","None provided",
"(U) ","Non Military Membership ID","(U) ","None provided",
"(U) ","Resident Status ID","(U) ","None provided",
"(U) ","Tax or Government Issuance ID","(U) ","None provided",
"(U) ","Other Personal ID","(U) ","None provided",

