"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","USCG","(U) ","DHS -- Department of Homeland Security/U.S. Coast Guard",
"(U) ","USCBP","(U) ","DHS -- Department of Homeland Security/U.S. Customs and Border Protection",
"(U) ","USICE","(U) ","DHS -- Department of Homeland Security/U.S. Immigration and Customs Enforcement",
"(U) ","OASIA","(U) ","DHS -- Department of Homeland Security/Office of the Assistant Secretary for Intelligence and Analysis",
"(U) ","USSS","(U) ","DHS -- Department of Homeland Security/U.S. Secret Service",

