"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","Actions","(U) ","Finance actions taken to fund organization and pay bills, includes: extortion, money laundering, paying combatants, and paying families of deceased members.",
"(U) ","FIS","(U) ","Items indicating FIS involvement in a target group's finances",
"(U) ","Ledgers","(U) ","Ledgers and transactions related to the financial activities of a target group",
"(U) ","Logo","(U) ","Finance items that have a logo or flag embedded",
"(U) ","Other","(U) ","Misc items related to primary activity",
"(U) ","Reporting","(U) ","Financial reporting of a target group",
"(U) ","Training","(U) ","Training in financial aspects of insurgency/terrorism",

