"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","Actions","(U) ","Indicators of Cyber warfare activity",
"(U) ","FIS","(U) ","Items indicating FIS involvement with Cyber Weapons",
"(U) ","Logo","(U) ","Items that have a logo or flag embedded",
"(U) ","Other","(U) ","Misc items related to primary activity",
"(U) ","Reporting","(U) ","Reporting on employment of cyber weapons",
"(U) ","Tools","(U) ","Actual Cyber Weapons",
"(U) ","Training","(U) ","Any Cyber warfare training materials",

