"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","fij","(U) ","Fijian",
"(U) ","fil","(U) ","Filipino",
"(U) ","fin","(U) ","Finnish",
"(U) ","fiu","(U) ","Finno-Ugrian languages",
"(U) ","fon","(U) ","Fon",
"(U) ","fra","(U) ","Terminology applications trigraph for French",
"(U) ","fre","(U) ","Bibliographic applications trigraph for French",
"(U) ","frm","(U) ","Middle French (ca. 1400-1600)",
"(U) ","fro","(U) ","Old French (842-ca. 1400)",
"(U) ","frr","(U) ","Northern Frisian",
"(U) ","frs","(U) ","Eastern Frisian",
"(U) ","fry","(U) ","Western Frisian",
"(U) ","ful","(U) ","Fulah",
"(U) ","fur","(U) ","Friulian",
"(U) ","gaa","(U) ","Ga",
"(U) ","gay","(U) ","Gayo",
"(U) ","gba","(U) ","Gbaya (Central African Republic)",
"(U) ","gem","(U) ","Germanic languages",
"(U) ","geo","(U) ","Bibliographic applications trigraph for Georgian",
"(U) ","ger","(U) ","Bibliographic applications trigraph for German",
"(U) ","gez","(U) ","Geez",
"(U) ","gil","(U) ","Gilbertese",
"(U) ","gla","(U) ","Scottish Gaelic",
"(U) ","gle","(U) ","Irish",
"(U) ","glg","(U) ","Galician",
"(U) ","glv","(U) ","Manx",
"(U) ","gmh","(U) ","Middle High German (ca. 1050-1500)",
"(U) ","goh","(U) ","Old High German (ca. 750-1050)",
"(U) ","gon","(U) ","Gondi",
"(U) ","gor","(U) ","Gorontalo",
"(U) ","got","(U) ","Gothic",
"(U) ","grb","(U) ","Grebo",
"(U) ","grc","(U) ","Ancient Greek (to 1453)",
"(U) ","gre","(U) ","Bibliographic applications trigraph for Modern Greek (1453-)",
"(U) ","grn","(U) ","Guarani",
"(U) ","gsw","(U) ","Swiss German",
"(U) ","guj","(U) ","Gujarati",
"(U) ","gwi","(U) ","Gwichʼin",
"(U) ","hai","(U) ","Haida",
"(U) ","hat","(U) ","Haitian",
"(U) ","hau","(U) ","Hausa",
"(U) ","haw","(U) ","Hawaiian",
"(U) ","heb","(U) ","Hebrew",
"(U) ","her","(U) ","Herero",
"(U) ","hil","(U) ","Hiligaynon",
"(U) ","him","(U) ","Himachali languages",
"(U) ","hin","(U) ","Hindi",
"(U) ","hit","(U) ","Hittite",
"(U) ","hmn","(U) ","Hmong",
"(U) ","hmo","(U) ","Hiri Motu",
"(U) ","hrv","(U) ","Terminology applications trigraph for Croatian",
"(U) ","hsb","(U) ","Upper Sorbian",
"(U) ","hun","(U) ","Hungarian",
"(U) ","hup","(U) ","Hupa",
"(U) ","hye","(U) ","Terminology applications trigraph for Armenian",
"(U) ","iba","(U) ","Iban",
"(U) ","ibo","(U) ","Igbo",
"(U) ","ice","(U) ","Bibliographic applications trigraph for Icelandic",
"(U) ","ido","(U) ","Ido",
"(U) ","iii","(U) ","Sichuan Yi",
"(U) ","ijo","(U) ","Ijo languages",
"(U) ","iku","(U) ","Inuktitut",
"(U) ","ile","(U) ","Interlingue",
"(U) ","ilo","(U) ","Iloko",
"(U) ","ina","(U) ","Interlingua (International Auxiliary Language Association)",
"(U) ","inc","(U) ","Indic languages",
"(U) ","ind","(U) ","Indonesian",
"(U) ","ine","(U) ","Indo-European languages",
"(U) ","inh","(U) ","Ingush",
"(U) ","ipk","(U) ","Inupiaq",
"(U) ","ira","(U) ","Iranian languages",
"(U) ","iro","(U) ","Iroquoian languages",
"(U) ","isl","(U) ","Terminology applications trigraph for Icelandic",
"(U) ","ita","(U) ","Italian",
"(U) ","jav","(U) ","Javanese",
"(U) ","jbo","(U) ","Lojban",
"(U) ","jpn","(U) ","Japanese",
"(U) ","jpr","(U) ","Judeo-Persian",
"(U) ","jrb","(U) ","Judeo-Arabic",
"(U) ","kaa","(U) ","Kara-Kalpak",
"(U) ","kab","(U) ","Kabyle",
"(U) ","kac","(U) ","Kachin",
"(U) ","kal","(U) ","Kalaallisut",
