"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","ENCLAVE","(U) ","A set of system resources that operate in the same security domain and that share the protection of a single, common, continuous security perimeter. (Source: CNSSI 4009)",
"(U) ","MAJORAPPLICATION","(U) ","An application that requires special attention to security due to the risk and magnitude of harm resulting from the loss, misuse, or unauthorized access to or modification of the information in the application. (Source: CNSSI 4009)",
"(U) ","PLATFORMITSYSTEM","(U) ","A collection of Information technology (IT), both hardware and software, that is physically part of, dedicated to, or essential in real time to the mission performance of special purpose systems within an identified boundary under the control of a single authority and security policy. The systems may be structured by physical proximity or by function, independent of location. (Source CNSSI 4009)",
"(U) ","GENERALSUPPORTSYSTEM","(U) ","An interconnected set of information resources under the same direct management control that shares common functionality. It normally includes hardware, software, information, data, applications, communications, and people. (Source: CNSSI 4009)",
"(U) ","VIRTUALITSYSTEM","(U) ","An IT system entirely comprised of virtual machines",
"(U) ","CONTAINERITSYSTEM","(U) ","An IT system entirely comprised of containers",
"(U) ","MIXEDITSYSTEM","(U) ","An IT system comprosed of bare metal and virtual and/or container elements",
"(U) ","CROSSDOMAIN","(U) ","An IT system that manually and/or automatically provides access and/or transfers information between different security domains.",

