"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","ADMINISTRATIVE_RECALL","(U) ","Notify recipients that a product has been withdrawn due to
                significant but non-substantive technical, legal, or policy issues (but is not used for a FISA-compliance recall); 
                e.g., compromise of sources and methods, identification of US person, improper classification.",
"(U) ","ADMINISTRATIVE_REVISION","(U) ","Notify recipients that a modification has been made that does
   			       not affect the substance of the original product; e.g., misspellings, typographical
   			       errors, additional recipients.",
"(U) ","FISA_COMPLIANCE_RECALL","(U) ","Notify recipients that a product has been recalled 
                specifically for a FISA-compliance reason. ",
"(U) ","SUBSTANTIVE_RECALL","(U) ","Notify recipients that a product has been withdrawn due to
                significant concerns about the accuracy of the information, the integrity of the
                source, or the soundness of the analytic judgments.",
"(U) ","SUBSTANTIVE_REVISION","(U) ","Notify recipients that a change has been made that does
                affect the substance of the original product but does not invalidate it; e.g.,
                dropped words or sentences, inaccurate paragraphs or comments, minor analytic
                judgments.",

