"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","7AC","(U) ","Great Australian Bight",
"(U) ","7AD","(U) ","Mozambique Channel",
"(U) ","7AE","(U) ","Palk Strait",
"(U) ","7AF","(U) ","Spencer Gulf",
"(U) ","7BA","(U) ","Andaman Sea",
"(U) ","7BB","(U) ","Strait of Malacca",
"(U) ","7CA","(U) ","Arabian Sea",
"(U) ","7CB","(U) ","Gulf of Aden",
"(U) ","7CC","(U) ","Gulf of Oman",
"(U) ","7CD","(U) ","Strait of Hormuz",
"(U) ","7CE","(U) ","Persian Gulf",
"(U) ","7DA","(U) ","Laccadive Sea",
"(U) ","7EA","(U) ","Red Sea",
"(U) ","7EB","(U) ","Gulf of Aqaba",
"(U) ","7EC","(U) ","Gulf of Suez",
"(U) ","7FA","(U) ","Savu Sea",
"(U) ","7GA","(U) ","Timor Sea",
"(U) ","7GB","(U) ","Joseph Bonaparte Gulf",
"(U) ","8AA","(U) ","Southern Ocean",
"(U) ","8AB","(U) ","Bransfield Strait",
"(U) ","8BA","(U) ","Amundsen Sea",
"(U) ","8CA","(U) ","Bellingshausen Sea",
"(U) ","8DA","(U) ","Ross Sea",
"(U) ","8EA","(U) ","Weddell Sea",

