"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","sw","(U) ","Swahili (macrolanguage)",
"(U) ","ta","(U) ","Tamil",
"(U) ","te","(U) ","Telugu",
"(U) ","tg","(U) ","Tajik",
"(U) ","th","(U) ","Thai",
"(U) ","ti","(U) ","Tigrinya",
"(U) ","tk","(U) ","Turkmen",
"(U) ","tl","(U) ","Tagalog",
"(U) ","tn","(U) ","Tswana",
"(U) ","to","(U) ","Tonga (Tonga Islands)",
"(U) ","tr","(U) ","Turkish",
"(U) ","ts","(U) ","Tsonga",
"(U) ","tt","(U) ","Tatar",
"(U) ","tw","(U) ","Twi",
"(U) ","ty","(U) ","Tahitian",
"(U) ","ug","(U) ","Uighur",
"(U) ","uk","(U) ","Ukrainian",
"(U) ","ur","(U) ","Urdu",
"(U) ","uz","(U) ","Uzbek",
"(U) ","ve","(U) ","Venda",
"(U) ","vi","(U) ","Vietnamese",
"(U) ","vo","(U) ","Volapük",
"(U) ","wa","(U) ","Walloon",
"(U) ","wo","(U) ","Wolof",
"(U) ","xh","(U) ","Xhosa",
"(U) ","yi","(U) ","Yiddish",
"(U) ","yo","(U) ","Yoruba",
"(U) ","za","(U) ","Zhuang",
"(U) ","zh","(U) ","Chinese",
"(U) ","zu","(U) ","Zulu",

