"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","agv","(U) ","Remontado Agta",
"(U) ","agw","(U) ","Kahua",
"(U) ","agx","(U) ","Aghul",
"(U) ","agy","(U) ","Southern Alta",
"(U) ","agz","(U) ","Mt. Iriga Agta",
"(U) ","aha","(U) ","Ahanta",
"(U) ","ahb","(U) ","Axamb",
"(U) ","ahg","(U) ","Qimant",
"(U) ","ahh","(U) ","Aghu",
"(U) ","ahi","(U) ","Tiagbamrin Aizi",
"(U) ","ahk","(U) ","Akha",
"(U) ","ahl","(U) ","Igo",
"(U) ","ahm","(U) ","Mobumrin Aizi",
"(U) ","ahn","(U) ","Àhàn",
"(U) ","aho","(U) ","Ahom",
"(U) ","ahp","(U) ","Aproumu Aizi",
"(U) ","ahr","(U) ","Ahirani",
"(U) ","ahs","(U) ","Ashe",
"(U) ","aht","(U) ","Ahtena",
"(U) ","aia","(U) ","Arosi",
"(U) ","aib","(U) ","Ainu (China)",
"(U) ","aic","(U) ","Ainbai",
"(U) ","aid","(U) ","Alngith",
"(U) ","aie","(U) ","Amara",
"(U) ","aif","(U) ","Agi",
"(U) ","aig","(U) ","Antigua and Barbuda Creole English",
"(U) ","aih","(U) ","Ai-Cham",
"(U) ","aii","(U) ","Assyrian Neo-Aramaic",
"(U) ","aij","(U) ","Lishanid Noshan",
"(U) ","aik","(U) ","Ake",
"(U) ","ail","(U) ","Aimele",
"(U) ","aim","(U) ","Aimol",
"(U) ","ain","(U) ","Ainu (Japan)",
"(U) ","aio","(U) ","Aiton",
"(U) ","aip","(U) ","Burumakok",
"(U) ","aiq","(U) ","Aimaq",
"(U) ","air","(U) ","Airoran",
"(U) ","ais","(U) ","Nataoran Amis",
"(U) ","ait","(U) ","Arikem",
"(U) ","aiw","(U) ","Aari",
"(U) ","aix","(U) ","Aighon",
"(U) ","aiy","(U) ","Ali",
"(U) ","aja","(U) ","Aja (Sudan)",
"(U) ","ajg","(U) ","Aja (Benin)",
"(U) ","aji","(U) ","Ajië",
"(U) ","ajn","(U) ","Andajin",
"(U) ","ajp","(U) ","South Levantine Arabic",
"(U) ","ajt","(U) ","Judeo-Tunisian Arabic",
"(U) ","aju","(U) ","Judeo-Moroccan Arabic",
"(U) ","ajw","(U) ","Ajawa",
"(U) ","ajz","(U) ","Amri Karbi",
"(U) ","aka","(U) ","Akan",
"(U) ","akb","(U) ","Batak Angkola",
"(U) ","akc","(U) ","Mpur",
"(U) ","akd","(U) ","Ukpet-Ehom",
"(U) ","ake","(U) ","Akawaio",
