"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","Country","(U) ","Plans associated with attacking a specific country",
"(U) ","FIS","(U) ","Items indicating FIS involvement in a target group's planning",
"(U) ","Logo","(U) ","Planning items that have a logo or flag embedded",
"(U) ","Other","(U) ","Misc items related to primary activity",
"(U) ","Regional","(U) ","Planning related to a large geographic areas",
"(U) ","Strategic","(U) ","High level plans and objectives",
"(U) ","Tactical","(U) ","Operational level plans for specific targets",

