"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","CTC","(U) ","CIA CTC",
"(U) ","NE","(U) ","CIA NE",
"(U) ","FBIS","(U) ","FBIS -- Foreign Broadcast Information Service",
"(U) ","IOC","(U) ","CENTRAL INTELLIGENCE AGENCY",
"(U) ","OSC","(U) ","OSC -- DNI Open Source Center",
"(U) ","OSC/FBIS","(U) ","OSC/FBIS -- Open Source
                Center/FBIS",

