"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","LEGATs/Tbilisi","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Tel Aviv","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/The Hague","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Tokyo","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Vienna","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","LEGATs/Warsaw","(U) ","FBI -- Federal Bureau of Investigation - Legal Attaches",
"(U) ","FO/Albany","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Albuquerque","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Anchorage","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Atlanta","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Baltimore","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Birmingham","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Boston","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Buffalo","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Charlotte","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Chicago","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Cincinnati","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Cleveland","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Columbia","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Dallas","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Denver","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Detroit","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/El Paso","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Honolulu","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Houston","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Indianapolis","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Jackson","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Jacksonville","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Kansas City","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Knoxville","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Las Vegas","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Little Rock","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Los Angeles","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Louisville","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Memphis","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Miami","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Milwaukee","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Minneapolis","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Mobile","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/New Haven","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/New Orleans","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/New York","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Newark","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Norfolk","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Oklahoma City","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Omaha","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Philadelphia","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Phoenix","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Pittsburgh","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Portland","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Richmond","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Sacramento","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Salt Lake City","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/San Antonio","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/San Diego","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/San Francisco","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Seattle","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Springfield","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/St. Louis","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Tampa","(U) ","FBI -- Federal Bureau of Investigation - Field Office",
"(U) ","FO/Washington, D.C.","(U) ","FBI -- Federal Bureau of Investigation - Field Office",

