"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","MAF","(U) ","Saint Martin",
"(U) ","MAR","(U) ","Morocco",
"(U) ","MCO","(U) ","Monaco",
"(U) ","MDA","(U) ","Moldova",
"(U) ","MDG","(U) ","Madagascar",
"(U) ","MDV","(U) ","Maldives",
"(U) ","MEX","(U) ","Mexico",
"(U) ","MHL","(U) ","Marshall Islands",
"(U) ","MKD","(U) ","North Macedonia",
"(U) ","MLI","(U) ","Mali",
"(U) ","MLT","(U) ","Malta",
"(U) ","MMR","(U) ","Burma",
"(U) ","MNE","(U) ","Montenegro",
"(U) ","MNG","(U) ","Mongolia",
"(U) ","MNP","(U) ","Northern Mariana Islands",
"(U) ","MOZ","(U) ","Mozambique",
"(U) ","MRT","(U) ","Mauritania",
"(U) ","MSR","(U) ","Montserrat",
"(U) ","MTQ","(U) ","Martinique",
"(U) ","MUS","(U) ","Mauritius",
"(U) ","MWI","(U) ","Malawi",
"(U) ","MYS","(U) ","Malaysia",
"(U) ","MYT","(U) ","Mayotte",
"(U) ","NAM","(U) ","Namibia",
"(U) ","NCL","(U) ","New Caledonia",
"(U) ","NER","(U) ","Niger",
"(U) ","NFK","(U) ","Norfolk Island",
"(U) ","NGA","(U) ","Nigeria",
"(U) ","NIC","(U) ","Nicaragua",
"(U) ","NIU","(U) ","Niue",
"(U) ","NLD","(U) ","Netherlands",
"(U) ","NOR","(U) ","Norway",
"(U) ","NPL","(U) ","Nepal",
"(U) ","NRU","(U) ","Nauru",
"(U) ","NZL","(U) ","New Zealand",
"(U) ","OMN","(U) ","Oman",
"(U) ","PAK","(U) ","Pakistan",
"(U) ","PAN","(U) ","Panama",
"(U) ","PCN","(U) ","Pitcairn Islands",
"(U) ","PER","(U) ","Peru",
"(U) ","PHL","(U) ","Philippines",
"(U) ","PLW","(U) ","Palau",
"(U) ","PNG","(U) ","Papua New Guinea",
"(U) ","POL","(U) ","Poland",
"(U) ","PRI","(U) ","Puerto Rico",
"(U) ","PRK","(U) ","Korea, North",
"(U) ","PRT","(U) ","Portugal",
"(U) ","PRY","(U) ","Paraguay",
"(U) ","PYF","(U) ","French Polynesia",
"(U) ","QAT","(U) ","Qatar",
"(U) ","REU","(U) ","Reunion",
"(U) ","ROU","(U) ","Romania",
"(U) ","RUS","(U) ","Russia",
"(U) ","RWA","(U) ","Rwanda",
"(U) ","SAU","(U) ","Saudi Arabia",
"(U) ","SDN","(U) ","Sudan",
"(U) ","SEN","(U) ","Senegal",
"(U) ","SGP","(U) ","Singapore",
"(U) ","SGS","(U) ","South Georgia and South Sandwich Islands",
"(U) ","SHN","(U) ","Saint Helena, Ascension, and Tristan da Cunha",
"(U) ","SLB","(U) ","Solomon Islands",
"(U) ","SLE","(U) ","Sierra Leone",
"(U) ","SLV","(U) ","El Salvador",
"(U) ","SMR","(U) ","San Marino",
"(U) ","SOM","(U) ","Somalia",
"(U) ","SPM","(U) ","Saint Pierre and Miquelon",
"(U) ","SRB","(U) ","Serbia",
"(U) ","SSD","(U) ","South Sudan",
"(U) ","STP","(U) ","Sao Tome and Principe",
"(U) ","SUR","(U) ","Suriname",
"(U) ","SVK","(U) ","Slovakia",
"(U) ","SVN","(U) ","Slovenia",
"(U) ","SWE","(U) ","Sweden",
"(U) ","SWZ","(U) ","Eswatini",
"(U) ","SXM","(U) ","Sint Maarten",
"(U) ","SYC","(U) ","Seychelles",
"(U) ","SYR","(U) ","Syria",
"(U) ","TCA","(U) ","Turks and Caicos Islands",
"(U) ","TCD","(U) ","Chad",
"(U) ","TGO","(U) ","Togo",
"(U) ","THA","(U) ","Thailand",
"(U) ","TJK","(U) ","Tajikistan",
"(U) ","TKL","(U) ","Tokelau",
"(U) ","TKM","(U) ","Turkmenistan",
"(U) ","TLS","(U) ","Timor-Leste",
"(U) ","TON","(U) ","Tonga",
"(U) ","TTO","(U) ","Trinidad and Tobago",
"(U) ","TUN","(U) ","Tunisia",
"(U) ","TUR","(U) ","Turkey",
